"Data Import Template"
"Table:","Property Setter"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Property Setter","","","","","","",""
"Column Labels:","ID","DocType or Field","DocType","Property","Set Value","Field Name","Property Type","Default Value"
"Column Name:","name","doctype_or_field","doc_type","property","value","field_name","property_type","default_value"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","No"
"Type:","Data (text)","Select","Link","Data","Text","Data","Data","Data"
"Info:","","One of: DocField, DocType","Valid DocType","","","","",""
"Start entering data below this line"
"","""Stock Entry Detail-custom_serial_no-previous_field""","DocField","Stock Entry Detail","previous_field","serial_no","custom_serial_no","Data",""
"","""Stock Entry Detail-serial_no_link-previous_field""","DocField","Stock Entry Detail","previous_field","serial_no_batch","serial_no_link","Data",""
"","""Serial No-charge_no-previous_field""","DocField","Serial No","previous_field","stock_entry_name","charge_no","Data",""
"","""Stock Entry Detail-_idx""","DocType","Stock Entry Detail","_idx","[""s_warehouse"", ""col_break1"", ""t_warehouse"", ""sec_break1"", ""item_code"", ""item_name"", ""grade"", ""col_break2"", ""description"", ""quantity_and_rate"", ""no_of_qty"", ""qty_per_drum_bag"", ""qty"", ""uom"", ""incoming_rate"", ""col_break3"", ""stock_uom"", ""conversion_factor"", ""amount"", ""serial_no_batch"", ""drum_or_bag_series"", ""serial_no_link"", ""add"", ""serial_no"", ""custom_serial_no"", ""serial_no_uom"", ""col_break4"", ""charge_no"", ""source_batch"", ""target_batch"", ""batch_no"", ""accounting"", ""expense_account"", ""col_break5"", ""cost_center"", ""more_info"", ""actual_qty"", ""bom_no"", ""col_break6"", ""transfer_qty"", ""material_request"", ""material_request_item""]","","Text",""
"","""Stock Entry Detail-target_batch-previous_field""","DocField","Stock Entry Detail","previous_field","source_batch","target_batch","Data",""
"","""Stock Entry Detail-source_batch-previous_field""","DocField","Stock Entry Detail","previous_field","col_break4","source_batch","Data",""
"","""Stock Entry Detail-charge_no-previous_field""","DocField","Stock Entry Detail","previous_field","col_break4","charge_no","Data",""
"","""Stock Entry Detail-material_request_item-idx""","DocField","Stock Entry Detail","idx","42","material_request_item","Int",""
"","""Stock Entry Detail-material_request-idx""","DocField","Stock Entry Detail","idx","41","material_request","Int",""
"","""Stock Entry Detail-transfer_qty-idx""","DocField","Stock Entry Detail","idx","40","transfer_qty","Int",""
"","""Stock Entry Detail-col_break6-idx""","DocField","Stock Entry Detail","idx","39","col_break6","Int",""
"","""Stock Entry Detail-bom_no-idx""","DocField","Stock Entry Detail","idx","38","bom_no","Int",""
"","""Stock Entry Detail-actual_qty-idx""","DocField","Stock Entry Detail","idx","37","actual_qty","Int",""
"","""Stock Entry Detail-more_info-idx""","DocField","Stock Entry Detail","idx","36","more_info","Int",""
"","""Stock Entry Detail-cost_center-idx""","DocField","Stock Entry Detail","idx","35","cost_center","Int",""
"","""Stock Entry Detail-col_break5-idx""","DocField","Stock Entry Detail","idx","34","col_break5","Int",""
